iter	Passed	Remaining
0	57	57456
1	57	28827
2	57	19272
3	58	14490
4	58	11625
5	58	9716
6	58	8354
7	59	7328
8	59	6530
9	59	5892
10	59	5369
11	59	4937
12	60	4568
13	60	4252
14	60	3983
15	60	3743
16	61	3532
17	61	3343
18	61	3176
19	61	3027
20	62	2894
21	62	2768
22	62	2655
23	62	2551
24	62	2455
25	63	2367
26	63	2287
27	63	2211
28	63	2141
29	64	2074
30	64	2012
31	64	1953
32	64	1897
33	64	1845
34	65	1796
35	65	1750
36	65	1706
37	65	1664
38	65	1624
39	66	1587
40	66	1552
41	66	1519
42	66	1488
43	67	1456
44	67	1427
45	67	1398
46	67	1371
47	67	1345
48	68	1320
49	68	1297
50	68	1274
51	68	1252
52	68	1232
53	69	1211
54	69	1192
55	69	1173
56	69	1154
57	69	1136
58	70	1119
59	70	1102
60	70	1086
61	70	1070
62	71	1056
63	71	1042
64	71	1029
65	71	1015
66	71	1002
67	72	987
68	72	974
69	72	962
70	72	950
71	72	938
72	72	926
73	73	915
74	73	905
75	73	894
76	73	884
77	73	874
78	74	864
79	74	855
80	74	846
81	74	837
82	74	828
83	75	819
84	75	810
85	75	802
86	75	793
87	75	786
88	76	779
89	76	771
90	76	763
91	76	756
92	76	750
93	77	743
94	77	737
95	77	731
96	77	725
97	78	720
98	78	714
99	78	709
100	78	703
101	79	696
102	79	690
103	79	685
104	79	680
105	79	674
106	80	669
107	80	664
108	80	659
109	80	654
110	81	649
111	81	644
112	81	639
113	81	634
114	81	629
115	81	624
116	82	620
117	82	615
118	82	610
119	82	606
120	82	602
121	83	598
122	83	593
123	83	589
124	83	585
125	83	581
126	84	577
127	84	573
128	84	569
129	84	566
130	84	563
131	85	559
132	85	556
133	85	552
134	85	549
135	85	546
136	86	542
137	86	538
138	86	535
139	86	532
140	86	529
141	87	526
142	87	523
143	87	520
144	87	517
145	87	514
146	88	511
147	88	508
148	88	505
149	88	502
150	88	499
151	89	497
152	89	494
153	89	492
154	89	489
155	89	486
156	90	484
157	90	481
158	90	478
159	90	476
160	90	473
161	91	471
162	91	469
163	91	466
164	91	464
165	91	462
166	92	459
167	92	457
168	92	455
169	92	452
170	92	450
171	93	448
172	93	446
173	93	443
174	93	442
175	94	440
176	94	438
177	94	436
178	94	435
179	95	433
180	95	430
181	95	428
182	95	426
183	95	424
184	95	422
185	96	420
186	96	419
187	96	417
188	96	415
189	96	413
190	97	411
191	97	409
192	97	407
193	97	406
194	97	404
195	98	402
196	98	400
197	98	399
198	98	397
199	99	396
200	99	394
201	99	392
202	99	391
203	99	389
204	100	388
205	100	386
206	100	385
207	100	383
208	100	382
209	101	380
210	101	379
211	101	377
212	101	376
213	102	375
214	102	373
215	102	372
216	102	370
217	103	369
218	103	368
219	103	367
220	103	365
221	104	364
222	104	363
223	104	361
224	104	360
225	104	359
226	105	357
227	105	356
228	105	355
229	105	353
230	105	352
231	106	351
232	106	350
233	106	349
234	106	347
235	107	346
236	107	345
237	107	343
238	107	342
239	107	341
240	108	340
241	108	339
242	108	338
243	108	337
244	109	336
245	109	335
246	109	333
247	109	332
248	110	331
249	110	330
250	110	329
251	110	328
252	110	327
253	111	326
254	111	325
255	111	324
256	111	322
257	111	321
258	112	320
259	112	319
260	112	318
261	112	317
262	113	316
263	113	315
264	113	314
265	113	313
266	113	312
267	113	311
268	114	310
269	114	309
270	114	308
271	114	306
272	114	305
273	115	305
274	115	303
275	115	303
276	115	302
277	115	301
278	116	300
279	116	299
280	116	298
281	116	297
282	117	296
283	117	295
284	117	294
285	117	293
286	118	293
287	118	292
288	118	292
289	118	291
290	119	290
291	119	289
292	119	288
293	119	287
294	120	286
295	120	285
296	120	285
297	120	284
298	120	283
299	120	282
300	121	281
301	121	280
302	121	279
303	121	278
304	121	277
305	122	277
306	122	276
307	122	275
308	122	274
309	122	273
310	123	272
311	123	272
312	123	271
313	123	270
314	124	269
315	124	269
316	124	268
317	124	267
318	124	266
319	125	266
320	125	265
321	125	264
322	125	263
323	126	263
324	126	262
325	126	261
326	126	260
327	126	260
328	127	259
329	127	258
330	127	257
331	127	256
332	127	256
333	128	255
334	128	254
335	128	254
336	128	253
337	129	252
338	129	252
339	129	251
340	129	250
341	129	250
342	130	249
343	130	248
344	130	248
345	130	247
346	131	246
347	131	245
348	131	245
349	131	244
350	131	243
351	132	243
352	132	242
353	132	241
354	132	241
355	132	240
356	133	239
357	133	239
358	133	238
359	133	238
360	134	237
361	134	236
362	134	236
363	134	235
364	135	234
365	135	234
366	135	233
367	135	232
368	135	232
369	136	231
370	136	230
371	136	230
372	136	229
373	136	228
374	137	228
375	137	227
376	137	227
377	137	226
378	137	225
379	138	225
380	138	224
381	138	223
382	138	223
383	138	222
384	139	222
385	139	221
386	139	221
387	139	220
388	140	220
389	140	219
390	140	218
391	140	218
392	140	217
393	141	217
394	141	216
395	141	215
396	141	215
397	141	214
398	142	214
399	142	213
400	142	212
401	142	212
402	142	211
403	143	211
404	143	210
405	143	209
406	143	209
407	143	208
408	144	208
409	144	207
410	144	207
411	144	206
412	144	205
413	145	205
414	145	204
415	145	204
416	145	203
417	145	203
418	146	202
419	146	202
420	146	201
421	146	200
422	146	200
423	147	200
424	147	199
425	147	198
426	147	198
427	148	197
428	148	197
429	148	196
430	148	196
431	148	195
432	149	195
433	149	194
434	149	194
435	149	193
436	149	193
437	150	192
438	150	191
439	150	191
440	150	190
441	150	190
442	151	189
443	151	189
444	151	188
445	151	188
446	151	187
447	152	187
448	152	186
449	152	186
450	152	185
451	152	185
452	153	184
453	153	184
454	153	183
455	153	183
456	153	182
457	154	182
458	154	182
459	154	181
460	154	181
461	155	180
462	155	180
463	155	179
464	155	179
465	155	178
466	156	178
467	156	177
468	156	177
469	156	176
470	157	177
471	157	176
472	158	176
473	158	175
474	158	175
475	158	174
476	158	174
477	159	173
478	159	173
479	159	172
480	159	172
481	159	171
482	160	171
483	160	170
484	160	170
485	160	170
486	161	169
487	161	169
488	161	168
489	161	168
490	161	167
491	162	167
492	162	166
493	162	166
494	162	166
495	163	165
496	163	165
497	163	164
498	163	164
499	163	163
500	163	163
501	164	162
502	164	162
503	164	161
504	164	161
505	164	161
506	165	160
507	165	160
508	165	159
509	165	159
510	165	158
511	166	158
512	166	158
513	166	157
514	166	157
515	167	156
516	167	156
517	167	155
518	167	155
519	168	155
520	168	154
521	168	154
522	168	153
523	168	153
524	169	152
525	169	152
526	169	152
527	169	151
528	170	151
529	170	150
530	170	150
531	170	150
532	170	149
533	171	149
534	171	148
535	171	148
536	171	148
537	172	147
538	172	147
539	172	146
540	172	146
541	172	146
542	173	145
543	173	145
544	173	144
545	173	144
546	173	144
547	174	143
548	174	143
549	174	142
550	174	142
551	174	141
552	175	141
553	175	141
554	175	140
555	175	140
556	175	139
557	176	139
558	176	139
559	176	138
560	176	138
561	176	137
562	177	137
563	177	137
564	177	136
565	177	136
566	177	135
567	178	135
568	178	135
569	178	134
570	178	134
571	179	134
572	179	133
573	179	133
574	179	132
575	179	132
576	180	131
577	180	131
578	180	131
579	180	130
580	180	130
581	180	129
582	181	129
583	181	129
584	181	128
585	181	128
586	182	128
587	182	127
588	182	127
589	182	126
590	182	126
591	183	126
592	183	125
593	183	125
594	183	125
595	184	124
596	184	124
597	184	123
598	184	123
599	184	123
600	185	122
601	185	122
602	185	122
603	185	121
604	186	121
605	186	121
606	186	120
607	186	120
608	187	120
609	187	119
610	187	119
611	187	119
612	188	118
613	188	118
614	188	117
615	188	117
616	188	117
617	189	116
618	189	116
619	189	116
620	189	115
621	189	115
622	190	115
623	190	114
624	190	114
625	190	114
626	191	113
627	191	113
628	191	112
629	192	113
630	192	112
631	193	112
632	193	112
633	193	111
634	193	111
635	193	110
636	194	110
637	194	110
638	194	109
639	194	109
640	194	109
641	195	108
642	195	108
643	195	108
644	195	107
645	196	107
646	196	107
647	196	106
648	196	106
649	196	105
650	197	105
651	197	105
652	197	104
653	197	104
654	197	104
655	198	103
656	198	103
657	198	103
658	198	102
659	198	102
660	199	102
661	199	101
662	199	101
663	199	101
664	200	100
665	200	100
666	200	100
667	200	99
668	200	99
669	201	99
670	201	98
671	201	98
672	201	98
673	202	97
674	202	97
675	202	97
676	202	96
677	203	96
678	203	96
679	203	95
680	203	95
681	203	95
682	204	94
683	204	94
684	204	94
685	204	93
