iter	Passed	Remaining
0	56	56115
1	56	28311
2	57	18976
3	59	14721
4	59	11917
5	60	10010
6	60	8623
7	61	7593
8	61	6782
9	61	6131
10	62	5613
11	62	5168
12	63	4793
13	63	4476
14	63	4197
15	64	3955
16	64	3736
17	64	3541
18	65	3367
19	65	3216
20	66	3077
21	66	2950
22	66	2836
23	67	2730
24	67	2636
25	68	2549
26	68	2468
27	68	2392
28	69	2323
29	69	2256
30	70	2194
31	70	2133
32	70	2076
33	71	2020
34	71	1970
35	71	1921
36	72	1877
37	72	1835
38	72	1795
39	73	1757
40	73	1719
41	73	1684
42	74	1649
43	74	1617
44	74	1587
45	75	1558
46	75	1529
47	75	1500
48	75	1474
49	76	1450
50	76	1426
51	77	1404
52	77	1381
53	77	1360
54	77	1339
55	78	1318
56	78	1299
57	78	1280
58	79	1261
59	79	1243
60	79	1227
61	80	1212
62	80	1196
63	80	1181
64	81	1166
65	81	1152
66	81	1139
67	82	1131
68	83	1121
69	83	1110
70	83	1098
71	84	1086
72	84	1074
73	85	1063
74	85	1053
75	85	1043
76	86	1032
77	86	1022
78	86	1012
79	87	1002
80	87	992
81	87	983
82	87	971
83	88	962
84	88	953
85	88	944
86	89	935
87	89	926
88	89	918
89	89	909
90	90	902
91	90	894
92	90	886
93	91	878
94	91	871
95	91	864
96	92	856
97	92	849
98	92	843
99	92	836
100	93	829
101	93	823
102	93	816
103	94	810
104	94	804
105	94	798
106	94	792
107	95	787
108	95	782
109	95	776
110	96	771
111	96	765
112	96	761
113	97	756
114	97	752
115	98	748
116	98	743
117	98	738
118	99	734
119	99	729
120	99	724
121	99	719
122	100	715
123	100	711
124	100	706
125	101	702
126	101	698
127	101	694
128	102	690
129	102	685
130	102	681
131	103	678
132	103	674
133	103	670
134	104	667
135	104	663
136	104	659
137	105	656
138	105	652
139	105	648
140	105	645
141	106	641
142	106	637
143	106	634
144	106	630
145	107	627
146	107	624
147	107	621
148	108	617
149	108	615
150	108	612
151	109	609
152	109	606
153	109	603
154	110	600
155	110	598
156	110	595
157	111	592
158	111	589
159	112	588
160	112	584
161	112	583
162	113	581
163	113	579
164	114	578
165	114	575
166	115	573
167	115	571
168	115	569
169	116	567
170	116	565
171	117	563
172	117	561
173	118	562
174	118	560
175	119	558
176	119	556
177	120	554
178	120	552
179	120	549
180	120	547
181	121	545
182	121	542
183	121	540
184	122	538
185	122	536
186	122	533
187	123	531
188	123	529
189	123	527
190	123	524
191	124	522
192	124	520
193	124	519
194	125	516
195	125	515
196	125	513
197	126	511
198	126	509
199	126	507
200	127	505
201	127	503
202	127	502
203	128	501
204	128	499
205	129	498
206	129	496
207	130	495
208	130	493
209	130	491
210	131	489
211	131	488
212	131	486
213	131	484
214	132	482
215	132	481
216	132	479
217	133	478
218	133	477
219	134	475
220	134	473
221	134	472
222	135	470
223	135	468
224	135	467
225	135	465
226	136	464
227	136	462
228	136	461
229	137	459
230	137	458
231	137	456
232	138	454
233	138	453
234	138	451
235	139	450
236	139	448
237	139	447
238	139	445
239	140	444
240	140	442
241	140	441
242	141	439
243	141	438
244	141	437
245	142	435
246	142	434
247	142	432
248	143	431
249	143	430
250	143	429
251	144	428
252	144	427
253	145	425
254	145	424
255	145	423
256	146	422
257	146	421
258	146	420
259	147	418
260	147	417
261	147	416
262	148	414
